text,label
"I watched this movie based on the comments of a few that said that is was bad but funny. But you need to be warned that this movie has the worst special effects ever produced. They make 1950s science fiction movies look like works of art. This is funny at times, but annoying for the most part. And to compound the problem with the seriously pathetic special effects is the total lack of logic that characterized a majority of the events depicted. One of my favorites is where three of the characters drop hundreds of feet into a tunnel created by the arachnia and arrive to find it fully lit. Apparantely the arachnia have also managed to hook into the power grid. Very impressive. But this is just one example. And for what its worth, the music sucks, the acting sucks, the two cute girls are annoying, the obnoxious guy is annoying, the so-called handsome lead man is a geek, and the black girl who fall for him is a fool. Her father is the worst actor I have ever seen. I am not sure the brief moments of humor can possibly make up for the experience.",0
"At the end of the film I just asked myself :""is it the worse movie I have ever seen or is it the worse movie I have ever seen ?"". And the answer is... Actually, after having seen this movie and thought a bit about the meaning of it, you just can't find any meaning and you can only remember the two rape scenes, which are unbelievably brutal and useless. It seems to me as if the director tried to push this question into the crowd's head : ""what are such crimes compared to horror of war and extermination ?"" because i noticed that the two awful scenes where directly connected to war and it's horrors (during the first scene you can here the girl that is being raped screaming and in the same time you hear one of president Bush's speeches about the necessity of starting a war with Iraq and in the second scene, the pictures of the three criminals sticking a sword in a woman's vagina, are directly followed by archive pictures of World war II. But as a matter of facts, i really could not think about the relative gravity of theses two different kinds of human horror's expression, being done i was too shocked by what i had just seen and felt. (sorry for bad English)",0
"'War movie' is a Hollywood genre that has been done and redone so many times that clichéd dialogue, rehashed plot and over-the-top action sequences seem unavoidable for any conflict dealing with large-scale combat. Once in a while, however, a war movie comes along that goes against the grain and brings a truly original and compelling story to life on the silver screen. The Civil War-era ""Cold Mountain,"" starring Jude Law, Nicole Kidman and Renée Zellweger is such a film.<br /><br />Then again, calling Cold Mountain"" a war movie is not entirely accurate. True enough, the film opens with a (quite literally) quick-and-dirty battle sequence that puts ""Glory"" director Edward Zwick shame. However, ""Cold Mountain"" is not so much about the Civil War itself as it is about the period and the people of the times. The story centers around disgruntled Confederate soldier Inman, played by Jude Law, who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of Cold Mountain, North Carolina and the equally beautiful southern belle he left behind, Ada Monroe, played by Nicole Kidman. At first glance, this setup appears formulaic as the romantic interest back home gives the audience enough sympathy to root for the reluctant soldier's tribulations on the battlefield. Indeed, the earlier segments of the film are relatively unimpressive and even somewhat contrived.<br /><br />""Cold Mountain"" soon takes a drastic turn, though, as the intrepid hero Inman turns out to be a deserter (incidentally saving the audience from the potentially confusing scenario of wanting to root for the Confederates) and begins a long odyssey homeward. Meanwhile, back at the farm, Ada's cultured ways prove of little use in the fields; soon she is transformed into something of a wilderbeast. Coming to Ada's rescue is the course, tough-as-nails Ruby Thewes, played by Renée Zellweger, who helps Ada put the farm back together and, perhaps more importantly, cope with the loneliness and isolation the war seems to have brought upon Ada.<br /><br />Within these two settings, a vivid, compelling and, at times, very disturbing portrait of the war-torn South unfolds. The characters with whom Inman and Ada interact are surprisingly complex, enhanced by wonderful performances of Brendan Gleeson as Ruby's deadbeat father, Ray Winstone as an unrepentant southern ""lawman,"" and Natalie Portman as a deeply troubled and isolated young mother. All have been greatly affected and changed by ""the war of Northern aggression,"" mostly for the worse. The dark, pervading anti-war message, accented by an effective, haunting score and chillingly beautiful shots of Virginia and North Carolina, is communicated to the audience not so much by gruesome battle scenes as by the scarred land and traumatized people for which the war was fought. Though the weapons and tactics of war itself have changed much in the past century, it's hellish effect on the land is timelessly relevant.<br /><br />Director Anthony Minghella manages to maintain this gloomy mood for most of the film, but the atmosphere is unfortunately denigrated by a rather tepid climax that does little justice to the wonderfully formed characters. The love story between Inman and Ada is awkwardly tacked onto the beginning and end of the film, though the inherently distant, abstracted and even absurd nature of their relationship in a way fits the dismal nature of the rest of the plot.<br /><br />Make no mistake, ""Cold Mountain"" has neither the traits of a feel-good romance nor an inspiring war drama. It is a unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the lives of a people torn apart by a war and entirely desperate to be rid of its terrible repercussions altogether.",1
"After having seen the movie the first question arising in my mind was: Is this supposed to be irony or not? After reading a few comments about the character Doc Savage and the comic series, I knew this film was not meant to be ironic. So, the story tells us about an US-American Super-Doc saving a south American republic from evil. Sounds like a typical story. But this one comes in such an unrealistic way that it becomes ridiculous. The mandatory end-fight shows the worst presentation of martial arts I have ever seen. The film might be interesting for low budget movie designers as a bad example.",0
"The Stepford Children, besides being a very good made for TV movie, shows the very disturbing result of indoctrination. It is quite a statement about how being made to act within the confines of what is considered ""Good"" behavior can destroy whatever it is that makes a person unique and an individual. I think that this is a movie that parents who want to maintain some semblance of the thought that loams within the hearts and minds of youngsters should watch with their children and discuss what the movie is saying. I don't know if that was in any way the intent of this movie but I have always been of the opinion that it is one of the best movie devices against the wish to have children conform to an unrealistic and domineering pretense of what is in the best interest of anyone other than that of the children themselves. I hope to one day see this movie on DVD. I am at the starting gate... waiting.",1
"Yes, in this movie you are treated to multiple little snowmen on the attack in apparently a very warm climate so yes this movie is definitely not to be taken seriously. It is in fact a much worse movie than the original as at least with that one the whole production looked like it cost more than a couple of bucks and a video camera to make. It has its funny moments, but really playing off the cheapness of your movie and making that be your intended laughs is kind of weak film making if you ask me. You can not come up with a good story, your effects are going to really be bad, hey let us just make the movie look as bad as possible with horrible one liners and we have our movie. The first one at least had a somewhat credible story as the snowman in that one attacked during the winter and not what amounts to a resort. It also had better effects too, this one is just a step or two ahead of ""Hobgoblins"" as far as the monsters are concerned and you really want to be more than a step a two above a bunch of hand puppets. Still, it makes up for all of this with a super ending that depicts a great sea vessel being taken out by the mighty frost. Actually, I am just kidding, but really it was the funniest part of the movie.",0
"You've gotta hand it to Steven Seagal: whatever his other faults may be, he does have good taste in women. If you pick a Seagal movie, chances are there will be one or more very beautiful women in it. And usually, they do not function as mere eye candy; they get involved in the action and fight, shoot guns, kill with knives, etc. ""Flight of Fury"" offers the duo of Ciera Payton (who has a very sexy face, with luscious lips to match Angelina Jolie's) and Katie Jones, and finds time to get them involved in both a catfight AND a little lesbian fondling! And if it seems like I'm spending a little too much time talking about them, it's because the rest of the movie, although passable, is so unexciting that it's hard to find much else to talk about. Ironically, the weakest aspect is probably Seagal himself, who looks as if he can't even be bothered to try to pretend to care. This being a military-type actioner, there is very little fighting in it, and he doesn't fit into his role (a stealth fighter pilot, ""the best in the world"", of course) very well, which may explain his almost offensive sleepwalking. (*1/2)",0
"My wife and I have watched this whole series at least three times. I can't imagine how it could be better. This isn't the ""complete"" history of WWIIno library could hold such a historybut it is the best summary of that history. Lots of detail, lots of personal stories, and still keeps the overall picture in view.<br /><br />Olivier's narration is excellently written and, of course, superbly given. The interviews are from all sides, except the Russian, because the producers were not allowed to talk to many Russians. It is very much worth owning this complete program on DVD. We treasure our copy.<br /><br />The producer's do an excellent job of providing pictures and action where there was almost none extant in any archive: There are almost no films of convoys and submarine battles, for instance, but still, the episode on this subject is very well done.",1
"This movie is amazing! While being funny and entertaining, it is also profoundly deep and eye-opening. I will watch it again and again. Bruce is a guy who is unhappy with his life. He has a job and a life, but it isn't what he thinks it will take to bring him happiness. Bruce is bitter, unsatisfied, and resentful that his life isn't the way he envisions it should be. As a result of this state of mind, Bruce ends up losing his job and blaming God for everything that he thinks is wrong with his life. God comes to Bruce and grants him Godly powers. Bruce uses these powers to get everything he has always wanted. His life is finally exactly what he envisioned it would take to make him happy.....with one exception. In the process of gaining everything, he loses the one person who truly loved him. As the movie unfolds, Bruce learns that the real change that needed to occur in his life was not the circumstances, but his perception of what was truly there. This movie was inspirational and deep. If you really pay attention, it forces you to look at your life with a deeply humbling respect for the fact that a lot of the time we are so much more blessed than we recognize. As my wife says, ""Since when does anybody know what it takes to make them happy?"" and my humble addition, ""May we not lose ourselves and those who matter while we try to find out.""",1
"Drew Barrymore gets second chance at high school, on undercover assignment as newspaper reporter. In flashbacks, we see that the first time around was, to put it mildly, a major disaster. David Arquette is amusing in modest role as Drew's brother, who also enrolls to help out sis. Lots of subplots endanger but never overwhelm simple charm of movie. Drew keeps making her niche as major innocent-sexy light comic actress.",1
